###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
aardvark	cerdo hormiguero
aardvark	oso hormiguero[Noun]
aardvarks	cerdos hormigueros
aardvarks	osos hormigueros 
ab	prefijo que indica separacio/n
aback	hacia atras
aback	hacia atrás,take aback, desconcertar. En facha.
aback	por sopresa, desprevenidamente, de improviso
aback	atra/s[Adverb]
abacterial	abacteriano, sin bacterias
abacus	a/baco
abacuses	a/bacos
abaft	A popa (towards stern)/En popa (in stern)
abaft	detra/s de[Adverb]
abalone	abulo/n
abalone	oreja de mar (molusco)[Noun]
abalone	oreja de mar[Noun]
abalones	abulones
abalones	orejas de mar (moluscos)[Noun]
abalones	orejas de mar[Noun]
abandon	abandonar
abandon	darse por vencido[Verb]
abandon	dejar
abandon	desamparar, desertar, renunciar, evacuar, repudiar
abandon	renunciar a[Verb]
abandon	abandono[Noun]
abandoned	abandonado
abandoned	dejado
abandoned	desamparado
abandoned	olvidado
abandoned	abandonada,abandonado, abandonados, abandonadas[Verb]
abandonee	abandonado
abandonee	aislado
abandonee	dejado
abandonee	desamparado
abandonee	money
abandoner	abandonador
abandoning	abandonando
abandoning	abandono
abandonment	abandono
abandonment	desamparo, deserción
abandonments	abandonos
abandons	abandona
abandons	desampara
abase	abatir
abase	abatir, envilecer
abase	denigrar[Verb]
abase	rebajar, humillar, degradar
abase	rebajar, degradar, humillar, abatir[Verb]
abased	degradado
abased	rebajado, humillado, degradado
abased	rebajado, degradado, humillado, abatido[Adjective]
abasement	envilecimiento
abasement	humillacio/n, degradacio/n
abasement	rebajacio/n, degradacio/n, humillacio/n, abatimiento[Noun]
abasements	humillaciones, degradaciones
abaser	humillador
abases	degrada; humilla[Verb]
abash	avergonzar
abash	avergonzar, abochornar, confundir[Verb]
abash	avergonzar, confundir, 
abashed	avergonzado
abashes	avergu.enza; pone en situacio/n embarazosa[Verb]
abashing	vergonzante, vergonzoso
abashing	vergonzoso
abashment	Vergüenza.
abashment	verguenza
abasing	humillante
abasing	humillante, degradante[Verb]
abate	amainar[viento, tormenta], abolir, descontar, calmarse[dolor, tormenta]bajar[inundación][Verb]
abate	disminuir, reducir, mitigar
abate	mitigar
abate	terminar, hacer cesar
abated	amainado, amplacado, mitigado
abated	aplacado, abolido, descontado, disminuido.NO AMPLACADO[Adjective]
abatement	Abolición, supresión
abatement	descuento, rebaja
abatements	Rebajas, descuentos, decaimientos,aboliciones
abatements	s. descuento, rebaja, decaimiento
abater	rebajador, mitigador[Noun]
abates	satélites
abating	 superando una marca; disminuyendo; situacio/n depresiva[Verb]
abating	deprimente, calmante, aboliendo, disminuyendo, amainando, rebajando. NO SUPERAR UNA MARCA, en castellano es batir una marca: break a record
abatis	barricada con alambre de púas, parapeto de troncos caídos
abatis	tala, abatida, barricada de alambre de púas
abatises	Barricads, parapetos, obstáculos
abatises	sesame[Adjective]
abatises	Barricadas
abattoir	degolladero, macelo, matadero.
abattoir	matadero de reses
abattoir	matadero (GB)[Noun]
abaxial	abacial
abaxial	extraaxial
abaxial	No situado en el eje, lejos del eje, desalineado. NO ES CORRECTO ABACIAL=ABBATIAL
